対象品目コード,対象品目名,候補品目コード,候補品目名,根拠
PRCG20_1200150011,ねり製品,PRCG20_1200150040,植物油脂（除混合植物油脂）,揚げかまぼこ用油
PRCG20_1200150011,ねり製品,PRCG20_1202250001,事業用電力,加工・冷蔵の電力
PRCG20_1200150012,かつおパック,PRCG20_1200550005,塩,塩蔵・調味の副原料
PRCG20_1200150012,かつおパック,PRCG20_1200150046,しょう油,調味原料
PRCG20_1200150012,かつおパック,PRCG20_1200150036,砂糖,調味原料
PRCG20_1200150012,かつおパック,PRCG20_1202250001,事業用電力,加工・冷蔵の電力
PRCG20_1200150013,水産物漬物,PRCG20_1200550005,塩,塩蔵・調味の副原料
PRCG20_1200150013,水産物漬物,PRCG20_1200150046,しょう油,調味原料
PRCG20_1200150013,水産物漬物,PRCG20_1200150036,砂糖,調味原料
PRCG20_1200150013,水産物漬物,PRCG20_1202250001,事業用電力,加工・冷蔵の電力
PRCG20_1200150014,つくだ煮,PRCG20_1200550005,塩,塩蔵・調味の副原料
PRCG20_1200150014,つくだ煮,PRCG20_1200150046,しょう油,調味原料
PRCG20_1200150014,つくだ煮,PRCG20_1200150036,砂糖,調味原料
PRCG20_1200150014,つくだ煮,PRCG20_1202250001,事業用電力,加工・冷蔵の電力
PRCG20_1200150015,小麦粉,PRCG20_2600150021,小麦,主原料の輸入小麦（政府売渡価格）
PRCG20_1200150015,小麦粉,PRCG20_1202250001,事業用電力,製粉工場の電力
PRCG20_1200150015,小麦粉,PRCG20_1200650005,軽油,輸送用燃料
PRCG20_1200150016,即席めん,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150016,即席めん,PRCG20_1200150040,植物油脂（除混合植物油脂）,即席めんの揚げ油
PRCG20_1200150016,即席めん,PRCG20_1200550005,塩,製めん副原料
PRCG20_1200150016,即席めん,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150017,和風めん,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150017,和風めん,PRCG20_1200150040,植物油脂（除混合植物油脂）,即席めんの揚げ油
PRCG20_1200150017,和風めん,PRCG20_1200550005,塩,製めん副原料
PRCG20_1200150017,和風めん,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150018,中華めん,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150018,中華めん,PRCG20_1200150040,植物油脂（除混合植物油脂）,即席めんの揚げ油
PRCG20_1200150018,中華めん,PRCG20_1200550005,塩,製めん副原料
PRCG20_1200150018,中華めん,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150019,洋風めん,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150019,洋風めん,PRCG20_1200150040,植物油脂（除混合植物油脂）,即席めんの揚げ油
PRCG20_1200150019,洋風めん,PRCG20_1200550005,塩,製めん副原料
PRCG20_1200150019,洋風めん,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150020,食パン,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150020,食パン,PRCG20_1200150036,砂糖,副原料
PRCG20_1200150020,食パン,PRCG20_1200150004,バター,油脂原料
PRCG20_1200150020,食パン,PRCG20_1200150044,マーガリン,油脂原料
PRCG20_1200150020,食パン,PRCG20_1202050006,鶏卵,副原料
PRCG20_1200150021,菓子パン,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150021,菓子パン,PRCG20_1200150036,砂糖,副原料
PRCG20_1200150021,菓子パン,PRCG20_1200150004,バター,油脂原料
PRCG20_1200150021,菓子パン,PRCG20_1200150044,マーガリン,油脂原料
PRCG20_1200150021,菓子パン,PRCG20_1202050006,鶏卵,副原料
PRCG20_1200150022,調理パン・サンドイッチ,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150022,調理パン・サンドイッチ,PRCG20_1200150036,砂糖,副原料
PRCG20_1200150022,調理パン・サンドイッチ,PRCG20_1200150004,バター,油脂原料
PRCG20_1200150022,調理パン・サンドイッチ,PRCG20_1200150044,マーガリン,油脂原料
PRCG20_1200150022,調理パン・サンドイッチ,PRCG20_1202050006,鶏卵,副原料
PRCG20_1200150023,洋生菓子,PRCG20_1200150015,小麦粉,生地の主原料
PRCG20_1200150023,洋生菓子,PRCG20_1200150036,砂糖,主要な甘味原料
PRCG20_1200150023,洋生菓子,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200150023,洋生菓子,PRCG20_1202050006,鶏卵,副原料
PRCG20_1200150023,洋生菓子,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150024,和生菓子,PRCG20_1200150015,小麦粉,生地の主原料
PRCG20_1200150024,和生菓子,PRCG20_1200150036,砂糖,主要な甘味原料
PRCG20_1200150024,和生菓子,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200150024,和生菓子,PRCG20_1202050006,鶏卵,副原料
PRCG20_1200150024,和生菓子,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150025,ビスケット類,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150025,ビスケット類,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150025,ビスケット類,PRCG20_1200150004,バター,油脂原料
PRCG20_1200150025,ビスケット類,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200150026,米菓,PRCG20_1202050002,精米,主原料の米
PRCG20_1200150026,米菓,PRCG20_1200150046,しょう油,調味原料
PRCG20_1200150026,米菓,PRCG20_1200150040,植物油脂（除混合植物油脂）,揚げ油
PRCG20_1200150027,キャンデー,PRCG20_1200150015,小麦粉,生地の主原料
PRCG20_1200150027,キャンデー,PRCG20_1200150036,砂糖,主要な甘味原料
PRCG20_1200150027,キャンデー,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200150027,キャンデー,PRCG20_1202050006,鶏卵,副原料
PRCG20_1200150027,キャンデー,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150028,チョコレート,PRCG20_2600150025,コーヒー豆・カカオ豆,主原料のカカオ豆
PRCG20_1200150028,チョコレート,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150028,チョコレート,PRCG20_1200150003,粉乳,ミルク原料
PRCG20_1200150028,チョコレート,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200150029,チューインガム,PRCG20_1200150015,小麦粉,生地の主原料
PRCG20_1200150029,チューインガム,PRCG20_1200150036,砂糖,主要な甘味原料
PRCG20_1200150029,チューインガム,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200150029,チューインガム,PRCG20_1202050006,鶏卵,副原料
PRCG20_1200150029,チューインガム,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150030,スナック菓子,PRCG20_1200150015,小麦粉,生地の主原料
PRCG20_1200150030,スナック菓子,PRCG20_1200150036,砂糖,主要な甘味原料
PRCG20_1200150030,スナック菓子,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200150030,スナック菓子,PRCG20_1202050006,鶏卵,副原料
PRCG20_1200150030,スナック菓子,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150031,氷菓,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150031,氷菓,PRCG20_1200150039,異性化糖,甘味原料
PRCG20_1200150031,氷菓,PRCG20_1202250001,事業用電力,冷凍保管の電力
PRCG20_1200150032,豆菓子,PRCG20_2600150023,大豆,主原料の豆類
PRCG20_1200150032,豆菓子,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150032,豆菓子,PRCG20_1200150040,植物油脂（除混合植物油脂）,揚げ油
PRCG20_1200150033,シリアル,PRCG20_2600150021,小麦,穀物原料
PRCG20_1200150033,シリアル,PRCG20_2600150027,飼料作物,とうもろこし原料
PRCG20_1200150033,シリアル,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150034,果実・野菜缶詰,PRCG20_1200550005,塩,漬物・保存の副原料
PRCG20_1200150034,果実・野菜缶詰,PRCG20_1200150036,砂糖,調味原料
PRCG20_1200150034,果実・野菜缶詰,PRCG20_1201150012,食缶,缶詰容器
PRCG20_1200150034,果実・野菜缶詰,PRCG20_1200150048,食酢,調味原料
PRCG20_1200150035,漬物,PRCG20_1200550005,塩,漬物・保存の副原料
PRCG20_1200150035,漬物,PRCG20_1200150036,砂糖,調味原料
PRCG20_1200150035,漬物,PRCG20_1201150012,食缶,缶詰容器
PRCG20_1200150035,漬物,PRCG20_1200150048,食酢,調味原料
PRCG20_1200150036,砂糖,PRCG20_2600150007,粗糖,主原料の輸入粗糖
PRCG20_1200150036,砂糖,PRCG20_1202050003,てん菜,国産糖原料
PRCG20_1200150036,砂糖,PRCG20_1200650007,Ｂ重油・Ｃ重油,精製工程の燃料
PRCG20_1200150036,砂糖,PRCG20_1202250001,事業用電力,精製工場の電力
PRCG20_1200150037,でん粉,PRCG20_2600150027,飼料作物,主原料の輸入とうもろこし（飼料作物に分類）
PRCG20_1200150037,でん粉,PRCG20_1202250001,事業用電力,製造工程の電力
PRCG20_1200150037,でん粉,PRCG20_1200650005,軽油,輸送用燃料
PRCG20_1200150038,ぶどう糖・水あめ,PRCG20_1200150037,でん粉,糖化の主原料
PRCG20_1200150038,ぶどう糖・水あめ,PRCG20_2600150027,飼料作物,原料とうもろこし
PRCG20_1200150038,ぶどう糖・水あめ,PRCG20_1202250001,事業用電力,糖化工程の電力
PRCG20_1200150039,異性化糖,PRCG20_1200150037,でん粉,糖化の主原料
PRCG20_1200150039,異性化糖,PRCG20_2600150027,飼料作物,原料とうもろこし
PRCG20_1200150039,異性化糖,PRCG20_1202250001,事業用電力,糖化工程の電力
PRCG20_1200150040,植物油脂（除混合植物油脂）,PRCG20_2600150023,大豆,搾油原料
PRCG20_1200150040,植物油脂（除混合植物油脂）,PRCG20_2600150026,なたね,搾油原料
PRCG20_1200150040,植物油脂（除混合植物油脂）,PRCG20_2600150009,オリーブ油・パーム油,輸入油脂原料
PRCG20_1200150040,植物油脂（除混合植物油脂）,PRCG20_1202250001,事業用電力,搾油工場の電力
PRCG20_1200150041,混合植物油脂,PRCG20_2600150023,大豆,搾油原料
PRCG20_1200150041,混合植物油脂,PRCG20_2600150026,なたね,搾油原料
PRCG20_1200150041,混合植物油脂,PRCG20_2600150009,オリーブ油・パーム油,輸入油脂原料
PRCG20_1200150041,混合植物油脂,PRCG20_1202250001,事業用電力,搾油工場の電力
PRCG20_1200150042,植物油搾かす,PRCG20_2600150023,大豆,搾油原料
PRCG20_1200150042,植物油搾かす,PRCG20_2600150026,なたね,搾油原料
PRCG20_1200150042,植物油搾かす,PRCG20_2600150009,オリーブ油・パーム油,輸入油脂原料
PRCG20_1200150042,植物油搾かす,PRCG20_1202250001,事業用電力,搾油工場の電力
PRCG20_1200150043,ショートニング,PRCG20_2600150023,大豆,搾油原料
PRCG20_1200150043,ショートニング,PRCG20_2600150026,なたね,搾油原料
PRCG20_1200150043,ショートニング,PRCG20_2600150009,オリーブ油・パーム油,輸入油脂原料
PRCG20_1200150043,ショートニング,PRCG20_1202250001,事業用電力,搾油工場の電力
PRCG20_1200150044,マーガリン,PRCG20_2600150023,大豆,搾油原料
PRCG20_1200150044,マーガリン,PRCG20_2600150026,なたね,搾油原料
PRCG20_1200150044,マーガリン,PRCG20_2600150009,オリーブ油・パーム油,輸入油脂原料
PRCG20_1200150044,マーガリン,PRCG20_1202250001,事業用電力,搾油工場の電力
PRCG20_1200150045,みそ,PRCG20_2600150023,大豆,主原料
PRCG20_1200150045,みそ,PRCG20_1202050002,精米,米こうじ原料
PRCG20_1200150045,みそ,PRCG20_1200550005,塩,基礎原料
PRCG20_1200150046,しょう油,PRCG20_2600150023,大豆,主原料
PRCG20_1200150046,しょう油,PRCG20_2600150021,小麦,主原料
PRCG20_1200150046,しょう油,PRCG20_1200550005,塩,基礎原料
PRCG20_1200150047,ソース,PRCG20_1200150048,食酢,基礎原料
PRCG20_1200150047,ソース,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150047,ソース,PRCG20_1200550005,塩,基礎原料
PRCG20_1200150047,ソース,PRCG20_1200150049,香辛料,風味原料
PRCG20_1200150048,食酢,PRCG20_1202050002,精米,米酢原料
PRCG20_1200150048,食酢,PRCG20_1200150039,異性化糖,アルコール発酵原料
PRCG20_1200150048,食酢,PRCG20_1202250001,事業用電力,醸造の電力
PRCG20_1200150049,香辛料,PRCG20_2600150010,調味料,輸入香辛料原料
PRCG20_1200150049,香辛料,PRCG20_1200550005,塩,混合用基材
PRCG20_1200150049,香辛料,PRCG20_1202250001,事業用電力,粉砕・加工の電力
PRCG20_1200150050,ルウ,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150050,ルウ,PRCG20_1200150040,植物油脂（除混合植物油脂）,油脂原料
PRCG20_1200150050,ルウ,PRCG20_1200150049,香辛料,スパイス原料
PRCG20_1200150051,うま味・風味調味料,PRCG20_1200150036,砂糖,発酵原料の糖蜜代替
PRCG20_1200150051,うま味・風味調味料,PRCG20_1200550005,塩,基礎原料
PRCG20_1200150051,うま味・風味調味料,PRCG20_1202250001,事業用電力,発酵・精製の電力
PRCG20_1200150052,たれ・めんつゆ,PRCG20_1200150046,しょう油,基礎原料
PRCG20_1200150052,たれ・めんつゆ,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150052,たれ・めんつゆ,PRCG20_1200150051,うま味・風味調味料,だし・調味原料
PRCG20_1200150053,冷凍調理食品,PRCG20_1200150015,小麦粉,衣・生地の原料
PRCG20_1200150053,冷凍調理食品,PRCG20_1202050009,鶏肉,具材原料
PRCG20_1200150053,冷凍調理食品,PRCG20_1202050008,豚肉,具材原料
PRCG20_1200150053,冷凍調理食品,PRCG20_1200150040,植物油脂（除混合植物油脂）,調理用油
PRCG20_1200150053,冷凍調理食品,PRCG20_1202250001,事業用電力,冷凍保管の電力
PRCG20_1200150053,冷凍調理食品,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150054,レトルト食品,PRCG20_1202050007,牛肉,具材原料
PRCG20_1200150054,レトルト食品,PRCG20_1202050009,鶏肉,具材原料
PRCG20_1200150054,レトルト食品,PRCG20_1200150015,小麦粉,ルウ等の原料
PRCG20_1200150054,レトルト食品,PRCG20_1200150040,植物油脂（除混合植物油脂）,調理用油脂
PRCG20_1200150054,レトルト食品,PRCG20_1200750005,プラスチックフィルム・シート,パウチ包材
PRCG20_1200150055,そう菜,PRCG20_1202050002,精米,主食材
PRCG20_1200150055,そう菜,PRCG20_1200150015,小麦粉,調理素材
PRCG20_1200150055,そう菜,PRCG20_1202050009,鶏肉,具材原料
PRCG20_1200150055,そう菜,PRCG20_1202050008,豚肉,具材原料
PRCG20_1200150055,そう菜,PRCG20_1200150040,植物油脂（除混合植物油脂）,調理用油
PRCG20_1200150055,そう菜,PRCG20_1200750017,プラスチック製容器（除中空成形）,容器
PRCG20_1200150056,すし・弁当・おにぎり,PRCG20_1202050002,精米,主食材
PRCG20_1200150056,すし・弁当・おにぎり,PRCG20_1200150015,小麦粉,調理素材
PRCG20_1200150056,すし・弁当・おにぎり,PRCG20_1202050009,鶏肉,具材原料
PRCG20_1200150056,すし・弁当・おにぎり,PRCG20_1202050008,豚肉,具材原料
PRCG20_1200150056,すし・弁当・おにぎり,PRCG20_1200150040,植物油脂（除混合植物油脂）,調理用油
PRCG20_1200150056,すし・弁当・おにぎり,PRCG20_1200750017,プラスチック製容器（除中空成形）,容器
PRCG20_1200150057,豆腐・しみ豆腐・油揚げ類,PRCG20_2600150023,大豆,主原料
PRCG20_1200150057,豆腐・しみ豆腐・油揚げ類,PRCG20_1200150040,植物油脂（除混合植物油脂）,油揚げの揚げ油
PRCG20_1200150057,豆腐・しみ豆腐・油揚げ類,PRCG20_1202250001,事業用電力,製造・冷蔵の電力
PRCG20_1200150058,あん,PRCG20_2600150023,大豆,豆類原料
PRCG20_1200150058,あん,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150058,あん,PRCG20_1202250001,事業用電力,製あんの電力
PRCG20_1200150059,サプリメント,PRCG20_2600650014,医薬品（除動物用）,原料成分・原末
PRCG20_1200150059,サプリメント,PRCG20_1200150037,でん粉,賦形剤
PRCG20_1200150059,サプリメント,PRCG20_1200750017,プラスチック製容器（除中空成形）,容器
PRCG20_1200150060,こんにゃく,PRCG20_1200550005,塩,凝固助剤等の副資材
PRCG20_1200150060,こんにゃく,PRCG20_1202250001,事業用電力,製造の電力
PRCG20_1200150060,こんにゃく,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150061,即席みそ汁・インスタントスープ,PRCG20_1200150045,みそ,主原料
PRCG20_1200150061,即席みそ汁・インスタントスープ,PRCG20_1200150051,うま味・風味調味料,だし原料
PRCG20_1200150061,即席みそ汁・インスタントスープ,PRCG20_1202250001,事業用電力,乾燥工程の電力
PRCG20_1200150062,茶づけ・ふりかけ,PRCG20_1202050011,干のり,のり原料
PRCG20_1200150062,茶づけ・ふりかけ,PRCG20_1200550005,塩,調味原料
PRCG20_1200150062,茶づけ・ふりかけ,PRCG20_1200150051,うま味・風味調味料,調味原料
PRCG20_1200150063,納豆,PRCG20_2600150023,大豆,主原料
PRCG20_1200150063,納豆,PRCG20_1202250001,事業用電力,発酵・冷蔵の電力
PRCG20_1200150063,納豆,PRCG20_1200750017,プラスチック製容器（除中空成形）,容器
PRCG20_1200150064,パン粉,PRCG20_1200150015,小麦粉,主原料
PRCG20_1200150064,パン粉,PRCG20_1202250001,事業用電力,焙焼の電力
PRCG20_1200150064,パン粉,PRCG20_1200550005,塩,副原料
PRCG20_1200150065,清酒,PRCG20_1202050002,精米,主原料の酒米
PRCG20_1200150065,清酒,PRCG20_1202050001,玄米,原料米
PRCG20_1200150065,清酒,PRCG20_1200850007,ガラス容器,瓶容器
PRCG20_1200150065,清酒,PRCG20_1202250001,事業用電力,醸造・冷却の電力
PRCG20_1200150066,ビール,PRCG20_2600150012,こうじ・麦芽,主原料の麦芽
PRCG20_1200150066,ビール,PRCG20_2600150022,大麦,原料大麦
PRCG20_1200150066,ビール,PRCG20_1201150021,アルミニウム製飲料用缶,缶容器
PRCG20_1200150066,ビール,PRCG20_1200850007,ガラス容器,瓶容器
PRCG20_1200150067,発泡酒・新ジャンル,PRCG20_2600150012,こうじ・麦芽,主原料の麦芽
PRCG20_1200150067,発泡酒・新ジャンル,PRCG20_2600150022,大麦,原料大麦
PRCG20_1200150067,発泡酒・新ジャンル,PRCG20_1201150021,アルミニウム製飲料用缶,缶容器
PRCG20_1200150067,発泡酒・新ジャンル,PRCG20_1200850007,ガラス容器,瓶容器
PRCG20_1200150068,ウイスキー,PRCG20_2600150012,こうじ・麦芽,主原料の麦芽
PRCG20_1200150068,ウイスキー,PRCG20_2600150022,大麦,原料大麦
PRCG20_1200150068,ウイスキー,PRCG20_1200850007,ガラス容器,瓶容器
PRCG20_1200150069,果実酒・チューハイ,PRCG20_2600150022,大麦,焼酎等の原料
PRCG20_1200150069,果実酒・チューハイ,PRCG20_2600150014,果実酒,輸入バルクワイン原料
PRCG20_1200150069,果実酒・チューハイ,PRCG20_1200150036,砂糖,リキュール類の糖分
PRCG20_1200150069,果実酒・チューハイ,PRCG20_1200850007,ガラス容器,瓶容器
PRCG20_1200150069,果実酒・チューハイ,PRCG20_1201150021,アルミニウム製飲料用缶,缶チューハイの容器
PRCG20_1200150070,焼ちゅう,PRCG20_2600150022,大麦,焼酎等の原料
PRCG20_1200150070,焼ちゅう,PRCG20_2600150014,果実酒,輸入バルクワイン原料
PRCG20_1200150070,焼ちゅう,PRCG20_1200150036,砂糖,リキュール類の糖分
PRCG20_1200150070,焼ちゅう,PRCG20_1200850007,ガラス容器,瓶容器
PRCG20_1200150070,焼ちゅう,PRCG20_1201150021,アルミニウム製飲料用缶,缶チューハイの容器
PRCG20_1200150071,荒茶,PRCG20_1200550001,化学肥料,茶園の施肥コスト
PRCG20_1200150071,荒茶,PRCG20_1200650006,Ａ重油,製茶乾燥の燃料
PRCG20_1200150071,荒茶,PRCG20_1202250001,事業用電力,製茶の電力
PRCG20_1200150072,緑茶,PRCG20_1200150071,荒茶,主原料
PRCG20_1200150072,緑茶,PRCG20_1202250001,事業用電力,仕上げ加工の電力
PRCG20_1200150072,緑茶,PRCG20_1200750005,プラスチックフィルム・シート,包装材
PRCG20_1200150073,コーヒー,PRCG20_2600150025,コーヒー豆・カカオ豆,主原料の生豆
PRCG20_1200150073,コーヒー,PRCG20_1202250001,事業用電力,焙煎の電力
PRCG20_1200150073,コーヒー,PRCG20_1200650005,軽油,輸送用燃料
PRCG20_1200150074,炭酸飲料,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150074,炭酸飲料,PRCG20_1200150039,異性化糖,甘味原料
PRCG20_1200150074,炭酸飲料,PRCG20_1200750016,飲料用プラスチックボトル,PETボトル容器
PRCG20_1200150074,炭酸飲料,PRCG20_1201150021,アルミニウム製飲料用缶,缶容器
PRCG20_1200150075,ジュース,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150075,ジュース,PRCG20_1200150039,異性化糖,甘味原料
PRCG20_1200150075,ジュース,PRCG20_1200750016,飲料用プラスチックボトル,PETボトル容器
PRCG20_1200150075,ジュース,PRCG20_1201150021,アルミニウム製飲料用缶,缶容器
PRCG20_1200150076,コーヒー飲料,PRCG20_2600150025,コーヒー豆・カカオ豆,コーヒー原料
PRCG20_1200150076,コーヒー飲料,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150076,コーヒー飲料,PRCG20_1201150021,アルミニウム製飲料用缶,缶容器
PRCG20_1200150077,茶飲料,PRCG20_1200150071,荒茶,茶葉原料
PRCG20_1200150077,茶飲料,PRCG20_1200750016,飲料用プラスチックボトル,PETボトル容器
PRCG20_1200150077,茶飲料,PRCG20_1202250001,事業用電力,抽出・充填の電力
PRCG20_1200150078,ミネラルウォーター,PRCG20_1200750016,飲料用プラスチックボトル,PETボトル容器
PRCG20_1200150078,ミネラルウォーター,PRCG20_1202250001,事業用電力,充填の電力
PRCG20_1200150078,ミネラルウォーター,PRCG20_1200650005,軽油,輸送用燃料
PRCG20_1200150079,スポーツドリンク,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150079,スポーツドリンク,PRCG20_1200150039,異性化糖,甘味原料
PRCG20_1200150079,スポーツドリンク,PRCG20_1200750016,飲料用プラスチックボトル,PETボトル容器
PRCG20_1200150079,スポーツドリンク,PRCG20_1201150021,アルミニウム製飲料用缶,缶容器
PRCG20_1200150080,豆乳飲料,PRCG20_2600150023,大豆,主原料
PRCG20_1200150080,豆乳飲料,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150080,豆乳飲料,PRCG20_2601050003,ミルクカートン用紙,紙容器
PRCG20_1200150081,ノンアルコール飲料,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150081,ノンアルコール飲料,PRCG20_1200150039,異性化糖,甘味原料
